Week Number,Requests
01,27.08
02,66.35
03,68.36
04,76.98
05,86.68
06,78.34
07,100.00
08,77.25
09,72.97
10,90.71
11,60.48
12,35.15
13,36.16
14,36.05
15,28.06
16,24.84
17,33.04
18,29.68
19,35.96
20,33.42
21,31.36
22,29.68
23,34.07
24,39.69
25,34.57
26,32.59
27,34.27
28,46.87
29,30.86
30,37.14
31,30.45
32,36.41
33,32.69
34,45.34
35,43.42
36,42.06
37,48.32
38,69.19
39,44.78
40,45.44
41,69.19
42,51.13
43,53.31
44,32.64
45,34.12
46,37.53
47,37.30
48,52.63
49,39.21
50,19.85
51,18.06
52,20.24
53,15.04
